Year,GCCSA,STATE,SEX,AGE,AGE OFF,PopStart,Final Deaths,Final NOM_ARR,Final NOM_DEP,Nim_arr,Nim_Dep,Pop,SYD,RNSW,MELB,RVIC,BRIS,RQLD,ADEL,RSA,PER,RWA,HOB,RTAS,DAR,RNT,ACT
2021,SYD,NSW,M,0,0,.,,,,,,33009,,,,,,,,,,,,,,,
2021,SYD,NSW,M,1,0,.,,,,,,32079,,,,,,,,,,,,,,,
2021,SYD,NSW,M,2,0,.,,,,,,32945,,,,,,,,,,,,,,,
2021,SYD,NSW,M,3,0,.,,,,,,32692,,,,,,,,,,,,,,,
2021,SYD,NSW,M,4,0,.,,,,,,33440,,,,,,,,,,,,,,,
2021,SYD,NSW,M,5,0,.,,,,,,33924,,,,,,,,,,,,,,,
2021,SYD,NSW,M,6,0,.,,,,,,33949,,,,,,,,,,,,,,,
2021,SYD,NSW,M,7,0,.,,,,,,34024,,,,,,,,,,,,,,,
2021,SYD,NSW,M,8,0,.,,,,,,34448,,,,,,,,,,,,,,,
2021,SYD,NSW,M,9,0,.,,,,,,34480,,,,,,,,,,,,,,,
2021,SYD,NSW,M,10,0,.,,,,,,34107,,,,,,,,,,,,,,,
2021,SYD,NSW,M,11,0,.,,,,,,34107,,,,,,,,,,,,,,,
2021,SYD,NSW,M,12,0,.,,,,,,33369,,,,,,,,,,,,,,,
2021,SYD,NSW,M,13,0,.,,,,,,33232,,,,,,,,,,,,,,,
2021,SYD,NSW,M,14,0,.,,,,,,32740,,,,,,,,,,,,,,,
2021,SYD,NSW,M,15,0,.,,,,,,33291,,,,,,,,,,,,,,,
2021,SYD,NSW,M,16,0,.,,,,,,32639,,,,,,,,,,,,,,,
2021,SYD,NSW,M,17,0,.,,,,,,32336,,,,,,,,,,,,,,,
2021,SYD,NSW,M,18,1,.,,,,,,32314,,,,,,,,,,,,,,,
2021,SYD,NSW,M,19,1,.,,,,,,32604,,,,,,,,,,,,,,,
2021,SYD,NSW,M,20,1,.,,,,,,35990,,,,,,,,,,,,,,,
2021,SYD,NSW,M,21,1,.,,,,,,37967,,,,,,,,,,,,,,,
2021,SYD,NSW,M,22,1,.,,,,,,37116,,,,,,,,,,,,,,,
2021,SYD,NSW,M,23,1,.,,,,,,38178,,,,,,,,,,,,,,,
2021,SYD,NSW,M,24,1,.,,,,,,39605,,,,,,,,,,,,,,,
2021,SYD,NSW,M,25,1,.,,,,,,39631,,,,,,,,,,,,,,,
2021,SYD,NSW,M,26,1,.,,,,,,40215,,,,,,,,,,,,,,,
2021,SYD,NSW,M,27,1,.,,,,,,40378,,,,,,,,,,,,,,,
2021,SYD,NSW,M,28,1,.,,,,,,40753,,,,,,,,,,,,,,,
2021,SYD,NSW,M,29,1,.,,,,,,40446,,,,,,,,,,,,,,,
2021,SYD,NSW,M,30,2,.,,,,,,41688,,,,,,,,,,,,,,,
2021,SYD,NSW,M,31,2,.,,,,,,43152,,,,,,,,,,,,,,,
2021,SYD,NSW,M,32,2,.,,,,,,44107,,,,,,,,,,,,,,,
2021,SYD,NSW,M,33,2,.,,,,,,44214,,,,,,,,,,,,,,,
2021,SYD,NSW,M,34,2,.,,,,,,44652,,,,,,,,,,,,,,,
2021,SYD,NSW,M,35,2,.,,,,,,46734,,,,,,,,,,,,,,,
2021,SYD,NSW,M,36,2,.,,,,,,47855,,,,,,,,,,,,,,,
2021,SYD,NSW,M,37,2,.,,,,,,48430,,,,,,,,,,,,,,,
2021,SYD,NSW,M,38,2,.,,,,,,49223,,,,,,,,,,,,,,,
2021,SYD,NSW,M,39,2,.,,,,,,47890,,,,,,,,,,,,,,,
2021,SYD,NSW,M,40,2,.,,,,,,46976,,,,,,,,,,,,,,,
2021,SYD,NSW,M,41,2,.,,,,,,44412,,,,,,,,,,,,,,,
2021,SYD,NSW,M,42,2,.,,,,,,42782,,,,,,,,,,,,,,,
2021,SYD,NSW,M,43,2,.,,,,,,41166,,,,,,,,,,,,,,,
2021,SYD,NSW,M,44,2,.,,,,,,39925,,,,,,,,,,,,,,,
2021,SYD,NSW,M,45,2,.,,,,,,39440,,,,,,,,,,,,,,,
2021,SYD,NSW,M,46,2,.,,,,,,38765,,,,,,,,,,,,,,,
2021,SYD,NSW,M,47,2,.,,,,,,38450,,,,,,,,,,,,,,,
2021,SYD,NSW,M,48,2,.,,,,,,38341,,,,,,,,,,,,,,,
2021,SYD,NSW,M,49,2,.,,,,,,38652,,,,,,,,,,,,,,,
2021,SYD,NSW,M,50,2,.,,,,,,38054,,,,,,,,,,,,,,,
2021,SYD,NSW,M,51,2,.,,,,,,34657,,,,,,,,,,,,,,,
2021,SYD,NSW,M,52,2,.,,,,,,33498,,,,,,,,,,,,,,,
2021,SYD,NSW,M,53,2,.,,,,,,31787,,,,,,,,,,,,,,,
2021,SYD,NSW,M,54,2,.,,,,,,30735,,,,,,,,,,,,,,,
2021,SYD,NSW,M,55,2,.,,,,,,30277,,,,,,,,,,,,,,,
2021,SYD,NSW,M,56,2,.,,,,,,30361,,,,,,,,,,,,,,,
2021,SYD,NSW,M,57,2,.,,,,,,30308,,,,,,,,,,,,,,,
2021,SYD,NSW,M,58,2,.,,,,,,30547,,,,,,,,,,,,,,,
2021,SYD,NSW,M,59,2,.,,,,,,29628,,,,,,,,,,,,,,,
2021,SYD,NSW,M,60,3,.,,,,,,28269,,,,,,,,,,,,,,,
2021,SYD,NSW,M,61,3,.,,,,,,26452,,,,,,,,,,,,,,,
2021,SYD,NSW,M,62,3,.,,,,,,25550,,,,,,,,,,,,,,,
