date,type,value
1978-02-01,emp,5985659.7158
1978-02-01,uemp,482816.81320000003
1978-02-01,lf,6468476.528999999
1978-02-01,nilf,4020853.4365
1978-02-01,pop_15yr_over,10489329.965499999
1978-03-01,emp,6040560.795
1978-03-01,uemp,424849.9786
1978-03-01,lf,6465410.774
1978-03-01,nilf,4043230.138
1978-03-01,pop_15yr_over,10508640.91
1978-04-01,emp,6054213.8586
1978-04-01,uemp,403376.7611
1978-04-01,lf,6457590.619700001
1978-04-01,nilf,4061075.5873
1978-04-01,pop_15yr_over,10518666.207
1978-05-01,emp,6038264.7505
1978-05-01,uemp,398408.0771
1978-05-01,lf,6436672.8276
1978-05-01,nilf,4093997.8713
1978-05-01,pop_15yr_over,10530670.6989
1978-06-01,emp,6031342.2994
1978-06-01,uemp,393490.32749999996
1978-06-01,lf,6424832.6269
1978-06-01,nilf,4118541.3943000003
1978-06-01,pop_15yr_over,10543374.0212
1978-07-01,emp,6036083.9262999995
1978-07-01,uemp,380531.7353
1978-07-01,lf,6416615.6616
1978-07-01,nilf,4138738.2430999996
1978-07-01,pop_15yr_over,10555353.9047
1978-08-01,emp,6005361.4529
1978-08-01,uemp,398290.01369999995
1978-08-01,lf,6403651.4666
1978-08-01,nilf,4166814.4879
1978-08-01,pop_15yr_over,10570465.954499999
1978-09-01,emp,6024313.4515
1978-09-01,uemp,387326.7831
1978-09-01,lf,6411640.2346
1978-09-01,nilf,4175258.9569
1978-09-01,pop_15yr_over,10586899.1915
1978-10-01,emp,6045855.1024
1978-10-01,uemp,370371.6232
1978-10-01,lf,6416226.7256
1978-10-01,nilf,4182064.2918000002
1978-10-01,pop_15yr_over,10598291.0174
1978-11-01,emp,6033797.4421999995
1978-11-01,uemp,372782.2643
1978-11-01,lf,6406579.706499999
1978-11-01,nilf,4206348.445499999
1978-11-01,pop_15yr_over,10612928.152
1978-12-01,emp,6125360.4376
1978-12-01,uemp,444614.0912
1978-12-01,lf,6569974.5288
1978-12-01,nilf,4059064.3212
1978-12-01,pop_15yr_over,10629038.850000001
1979-01-01,emp,5971328.8253
1979-01-01,uemp,449903.04880000005
1979-01-01,lf,6421231.8741
1979-01-01,nilf,4222541.2828
1979-01-01,pop_15yr_over,10643773.1569
1979-02-01,emp,6050693.4726
1979-02-01,uemp,458085.0562
1979-02-01,lf,6508778.5287999995
1979-02-01,nilf,4151929.2822999996
1979-02-01,pop_15yr_over,10660707.811099999
1979-03-01,emp,6096175.215299999
1979-03-01,uemp,428382.213
1979-03-01,lf,6524557.4283
1979-03-01,nilf,4155305.5274
1979-03-01,pop_15yr_over,10679862.9557
1979-04-01,emp,6087653.7083
1979-04-01,uemp,420570.60130000004
1979-04-01,lf,6508224.3096
1979-04-01,nilf,4183841.6794000003
1979-04-01,pop_15yr_over,10692065.989
1979-05-01,emp,6075610.9053
1979-05-01,uemp,400063.2778
1979-05-01,lf,6475674.1831
1979-05-01,nilf,4230778.8536
1979-05-01,pop_15yr_over,10706453.036700001
1979-06-01,emp,6095734.0512
1979-06-01,uemp,393011.41439999995
1979-06-01,lf,6488745.4656
1979-06-01,nilf,4235610.6635
1979-06-01,pop_15yr_over,10724356.1291
1979-07-01,emp,6103921.742000001
1979-07-01,uemp,387097.92
1979-07-01,lf,6491019.662
1979-07-01,nilf,4245372.1885
1979-07-01,pop_15yr_over,10736391.8505
1979-08-01,emp,6078521.5923
1979-08-01,uemp,377496.8015
1979-08-01,lf,6456018.3938
1979-08-01,nilf,4294640.508
1979-08-01,pop_15yr_over,10750658.9018
1979-09-01,emp,6157789.1488
1979-09-01,uemp,400431.2018
1979-09-01,lf,6558220.3506
1979-09-01,nilf,4208697.5616999995
1979-09-01,pop_15yr_over,10766917.9123
1979-10-01,emp,6164048.3187
1979-10-01,uemp,391380.2576
1979-10-01,lf,6555428.5763
1979-10-01,nilf,4225767.4423
1979-10-01,pop_15yr_over,10781196.0186
1979-11-01,emp,6188840.648399999
1979-11-01,uemp,363551.8534
1979-11-01,lf,6552392.5018
1979-11-01,nilf,4245185.3349
1979-11-01,pop_15yr_over,10797577.8367
1979-12-01,emp,6257165.2478
1979-12-01,uemp,430959.9511
1979-12-01,lf,6688125.1989
1979-12-01,nilf,4128015.0247
1979-12-01,pop_15yr_over,10816140.2236
1980-01-01,emp,6112916.7413
1980-01-01,uemp,441665.17720000003
1980-01-01,lf,6554581.9185
1980-01-01,nilf,4274473.0938
1980-01-01,pop_15yr_over,10829055.0123
1980-02-01,emp,6207232.890500001
1980-02-01,uemp,448537.0636
1980-02-01,lf,6655769.9541
1980-02-01,nilf,4188376.9211
1980-02-01,pop_15yr_over,10844146.8752
1980-03-01,emp,6278650.1162
1980-03-01,uemp,415642.1973
1980-03-01,lf,6694292.3135
1980-03-01,nilf,4166730.7379000005
1980-03-01,pop_15yr_over,10861023.0514
1980-04-01,emp,6224863.8647
1980-04-01,uemp,407979.5099
1980-04-01,lf,6632843.3746
1980-04-01,nilf,4242798.4501
1980-04-01,pop_15yr_over,10875641.8247
1980-05-01,emp,6273448.1769
1980-05-01,uemp,416578.6483
1980-05-01,lf,6690026.8252
1980-05-01,nilf,4201998.207599999
1980-05-01,pop_15yr_over,10892025.0328
1980-06-01,emp,6269905.094699999
1980-06-01,uemp,409339.7881
