sa4_code,sa4_name,gccsa_code,gccsa_name,state_code,state_name,state_abrev
101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,NSW
102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,NSW
103,Central West,1RNSW,Rest of NSW,1,New South Wales,NSW
104,Coffs Harbour - Grafton,1RNSW,Rest of NSW,1,New South Wales,NSW
105,Far West and Orana,1RNSW,Rest of NSW,1,New South Wales,NSW
106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,NSW
107,Illawarra,1RNSW,Rest of NSW,1,New South Wales,NSW
108,Mid North Coast,1RNSW,Rest of NSW,1,New South Wales,NSW
109,Murray,1RNSW,Rest of NSW,1,New South Wales,NSW
110,New England and North West,1RNSW,Rest of NSW,1,New South Wales,NSW
111,Newcastle and Lake Macquarie,1RNSW,Rest of NSW,1,New South Wales,NSW
112,Richmond - Tweed,1RNSW,Rest of NSW,1,New South Wales,NSW
113,Riverina,1RNSW,Rest of NSW,1,New South Wales,NSW
114,Southern Highlands and Shoalhaven,1RNSW,Rest of NSW,1,New South Wales,NSW
115,Sydney - Baulkham Hills and Hawkesbury,1GSYD,Greater Sydney,1,New South Wales,NSW
116,Sydney - Blacktown,1GSYD,Greater Sydney,1,New South Wales,NSW
117,Sydney - City and Inner South,1GSYD,Greater Sydney,1,New South Wales,NSW
118,Sydney - Eastern Suburbs,1GSYD,Greater Sydney,1,New South Wales,NSW
119,Sydney - Inner South West,1GSYD,Greater Sydney,1,New South Wales,NSW
120,Sydney - Inner West,1GSYD,Greater Sydney,1,New South Wales,NSW
121,Sydney - North Sydney and Hornsby,1GSYD,Greater Sydney,1,New South Wales,NSW
122,Sydney - Northern Beaches,1GSYD,Greater Sydney,1,New South Wales,NSW
123,Sydney - Outer South West,1GSYD,Greater Sydney,1,New South Wales,NSW
124,Sydney - Outer West and Blue Mountains,1GSYD,Greater Sydney,1,New South Wales,NSW
125,Sydney - Parramatta,1GSYD,Greater Sydney,1,New South Wales,NSW
126,Sydney - Ryde,1GSYD,Greater Sydney,1,New South Wales,NSW
127,Sydney - South West,1GSYD,Greater Sydney,1,New South Wales,NSW
128,Sydney - Sutherland,1GSYD,Greater Sydney,1,New South Wales,NSW
197,Migratory - Offshore - Shipping (NSW),19799,Migratory - Offshore - Shipping (NSW),1,New South Wales,NSW
199,No usual address (NSW),19499,No usual address (NSW),1,New South Wales,NSW
201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,VIC
202,Bendigo,2RVIC,Rest of Vic.,2,Victoria,VIC
203,Geelong,2RVIC,Rest of Vic.,2,Victoria,VIC
204,Hume,2RVIC,Rest of Vic.,2,Victoria,VIC
205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,VIC
206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,VIC
207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,VIC
208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,VIC
209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,VIC
210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,VIC
